udp,orig=(src=65.10.11.133,dst=65.10.11.78,sport=28563,dport=6081),reply=(src=65.10.11.78,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.121,sport=28563,dport=6081),reply=(src=65.10.11.121,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.18.58,dst=65.10.11.133,sport=19443,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.58,sport=6081,dport=19443)
udp,orig=(src=65.10.11.133,dst=65.10.11.1,sport=61222,dport=6081),reply=(src=65.10.11.1,dst=65.10.11.133,sport=6081,dport=61222)
udp,orig=(src=65.10.18.26,dst=65.10.11.133,sport=25231,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.26,sport=6081,dport=25231)
udp,orig=(src=65.10.11.133,dst=65.10.11.101,sport=57056,dport=6081),reply=(src=65.10.11.101,dst=65.10.11.133,sport=6081,dport=57056)
udp,orig=(src=65.10.11.10,dst=65.10.11.133,sport=60297,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.10,sport=6081,dport=60297)
udp,orig=(src=65.10.18.141,dst=65.10.11.133,sport=51419,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.141,sport=6081,dport=51419)
udp,orig=(src=65.10.10.224,dst=65.10.11.133,sport=63582,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.224,sport=6081,dport=63582)
udp,orig=(src=65.10.18.21,dst=65.10.11.133,sport=33663,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.21,sport=6081,dport=33663)
udp,orig=(src=65.10.11.133,dst=65.10.10.212,sport=28124,dport=6081),reply=(src=65.10.10.212,dst=65.10.11.133,sport=6081,dport=28124)
udp,orig=(src=65.10.11.133,dst=65.10.11.85,sport=28563,dport=6081),reply=(src=65.10.11.85,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.164,sport=8951,dport=6081),reply=(src=65.10.11.164,dst=65.10.11.133,sport=6081,dport=8951)
udp,orig=(src=65.10.11.88,dst=65.10.11.133,sport=53189,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.88,sport=6081,dport=53189)
tcp,orig=(src=20.20.117.248,dst=20.20.0.14,sport=51790,dport=1234),reply=(src=20.20.0.14,dst=20.20.117.248,sport=1234,dport=51790),protoinfo=(state=ESTABLISHED)
udp,orig=(src=65.10.11.151,dst=65.10.11.133,sport=18134,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.151,sport=6081,dport=18134)
udp,orig=(src=127.0.0.1,dst=127.0.0.1,sport=46062,dport=514),reply=(src=127.0.0.1,dst=127.0.0.1,sport=514,dport=46062)
udp,orig=(src=65.10.10.189,dst=65.10.11.133,sport=53704,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.189,sport=6081,dport=53704)
udp,orig=(src=65.10.11.133,dst=65.10.11.49,sport=60250,dport=6081),reply=(src=65.10.11.49,dst=65.10.11.133,sport=6081,dport=60250)
udp,orig=(src=65.10.11.133,dst=65.10.10.195,sport=9265,dport=6081),reply=(src=65.10.10.195,dst=65.10.11.133,sport=6081,dport=9265)
udp,orig=(src=65.10.11.133,dst=65.10.11.162,sport=9256,dport=6081),reply=(src=65.10.11.162,dst=65.10.11.133,sport=6081,dport=9256)
udp,orig=(src=65.10.11.133,dst=65.10.11.93,sport=28563,dport=6081),reply=(src=65.10.11.93,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.131,dst=65.10.11.133,sport=62694,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.131,sport=6081,dport=62694)
udp,orig=(src=65.10.11.133,dst=65.10.18.50,sport=3482,dport=6081),reply=(src=65.10.18.50,dst=65.10.11.133,sport=6081,dport=3482)
udp,orig=(src=65.10.10.213,dst=65.10.11.133,sport=59484,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.213,sport=6081,dport=59484)
udp,orig=(src=65.10.11.133,dst=65.10.11.8,sport=41740,dport=6081),reply=(src=65.10.11.8,dst=65.10.11.133,sport=6081,dport=41740)
udp,orig=(src=65.10.11.133,dst=65.10.11.107,sport=9384,dport=6081),reply=(src=65.10.11.107,dst=65.10.11.133,sport=6081,dport=9384)
udp,orig=(src=65.10.11.170,dst=65.10.11.133,sport=280,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.170,sport=6081,dport=280)
udp,orig=(src=65.10.11.133,dst=65.10.11.160,sport=51158,dport=6081),reply=(src=65.10.11.160,dst=65.10.11.133,sport=6081,dport=51158)
udp,orig=(src=65.10.11.133,dst=65.10.11.24,sport=12716,dport=6081),reply=(src=65.10.11.24,dst=65.10.11.133,sport=6081,dport=12716)
udp,orig=(src=65.10.11.104,dst=65.10.11.133,sport=63198,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.104,sport=6081,dport=63198)
udp,orig=(src=65.10.10.240,dst=65.10.11.133,sport=49912,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.240,sport=6081,dport=49912)
udp,orig=(src=65.10.11.91,dst=65.10.11.133,sport=64157,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.91,sport=6081,dport=64157)
udp,orig=(src=65.10.11.133,dst=65.10.18.63,sport=50478,dport=6081),reply=(src=65.10.18.63,dst=65.10.11.133,sport=6081,dport=50478)
udp,orig=(src=65.10.11.182,dst=65.10.11.133,sport=54993,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.182,sport=6081,dport=54993)
udp,orig=(src=65.10.11.133,dst=65.10.11.30,sport=31640,dport=6081),reply=(src=65.10.11.30,dst=65.10.11.133,sport=6081,dport=31640)
udp,orig=(src=65.10.11.133,dst=65.10.10.253,sport=8318,dport=6081),reply=(src=65.10.10.253,dst=65.10.11.133,sport=6081,dport=8318)
udp,orig=(src=65.10.11.133,dst=65.10.11.177,sport=10083,dport=6081),reply=(src=65.10.11.177,dst=65.10.11.133,sport=6081,dport=10083)
udp,orig=(src=65.10.11.133,dst=65.10.18.82,sport=7599,dport=6081),reply=(src=65.10.18.82,dst=65.10.11.133,sport=6081,dport=7599)
udp,orig=(src=65.10.10.193,dst=65.10.11.133,sport=55083,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.193,sport=6081,dport=55083)
udp,orig=(src=65.10.11.45,dst=65.10.11.133,sport=55485,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.45,sport=6081,dport=55485)
udp,orig=(src=65.10.11.177,dst=65.10.11.133,sport=32493,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.177,sport=6081,dport=32493)
udp,orig=(src=65.10.11.143,dst=65.10.11.133,sport=41897,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.143,sport=6081,dport=41897)
udp,orig=(src=65.10.10.223,dst=65.10.11.133,sport=52383,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.223,sport=6081,dport=52383)
udp,orig=(src=65.10.11.133,dst=65.10.11.167,sport=28563,dport=6081),reply=(src=65.10.11.167,dst=65.10.11.133,sport=6081,dport=28563)
